Accessions,Mother,Location,Date,Height,rockdust,section
S76,Poly_672,T4D1,19/09/18,12.5,n,Adnataria
S77,Poly_672,T4D2,19/09/18,2.1,y,Adnataria
S78,Poly_672,T4D3,19/09/18,0,n,Adnataria
S79,Poly_672,T4D4,19/09/18,4,y,Adnataria
S80,Poly_672,T4D5,19/09/18,7.6,n,Adnataria
S81,Albens_3280,T5A1,19/09/18,2.3,y,Adnataria
S82,Albens_3280,T5A2,19/09/18,2.6,n,Adnataria
S83,Albens_3280,T5A3,19/09/18,4.5,y,Adnataria
S84,Albens_3280,T5A4,19/09/18,3.8,n,Adnataria
S85,Albens_3280,T5A5,19/09/18,3.2,y,Adnataria
S86,Albens_3280,T5B1,19/09/18,2.4,n,Adnataria
S87,Albens_3280,T5B2,19/09/18,4,y,Adnataria
S88,Albens_3280,T5B3,19/09/18,2.6,n,Adnataria
S89,Albens_3280,T5B4,19/09/18,3.8,y,Adnataria
S90,Albens_3280,T5B5,19/09/18,2,n,Adnataria
S91,Albens_3280,T5C1,19/09/18,2.4,y,Adnataria
S92,Albens_3280,T5C2,19/09/18,2.2,n,Adnataria
S93,Albens_3280,T5C3,19/09/18,0.3,y,Adnataria
S94,Albens_3280,T5C4,19/09/18,3,n,Adnataria
S95,Albens_3280,T5C5,19/09/18,3.4,y,Adnataria
S96,Albens_3280,T5D1,19/09/18,3,n,Adnataria
S97,Albens_3280,T5D2,19/09/18,3.3,y,Adnataria
S98,Albens_3280,T5D3,19/09/18,3,n,Adnataria
S99,Albens_3280,T5D4,19/09/18,1.8,y,Adnataria
S100,Albens_3280,T5D5,19/09/18,5.9,n,Adnataria
S101,Mel_704,T6A1,20/09/18,0,n,Adnataria
S102,Mel_704,T6A2,20/09/18,0,y,Adnataria
S103,Mel_704,T6A3,20/09/18,0,n,Adnataria
S104,Mel_704,T6A4,20/09/18,0,y,Adnataria
S105,Mel_704,T6A5,20/09/18,4.5,n,Adnataria
S106,Mel_704,T6B1,20/09/18,0,y,Adnataria
